GeneID,D_melanogaster_Protein_ID,D_melanogaster_Gene_ID,accession,Gene_name
GB51881,#N/A,#N/A,XR_407644.1," PREDICTED: Apis mellifera uncharacterized LOC100577971 (LOC100577971), ncRNA"
GB51883,FBpp0086616,FBgn0033935,XM_003249154.2," PREDICTED: Apis mellifera stress-activated map kinase-interacting protein 1 (Sin1), mRNA"
GB51884,FBpp0070953,FBgn0029882,XM_396161.5," PREDICTED: Apis mellifera calcyclin-binding protein-like (LOC412708), mRNA"
GB51885,#N/A,#N/A,XM_006558000.1," PREDICTED: Apis mellifera uncharacterized LOC100577228 (LOC100577228), transcript variant X1, mRNA"
GB51887,#N/A,#N/A,XM_003249148.2," PREDICTED: Apis mellifera uncharacterized LOC100577147 (LOC100577147), mRNA"
GB51888,#N/A,#N/A,XM_003249152.2," PREDICTED: Apis mellifera uncharacterized LOC100577678 (LOC100577678), transcript variant X1, mRNA"
GB51889,FBpp0301847,FBgn0260855,XM_396838.4," PREDICTED: Apis mellifera vesicle-trafficking protein SEC22b-B-like (LOC413394), transcript variant X2, mRNA"
GB51892,#N/A,#N/A,XR_407636.1," PREDICTED: Apis mellifera uncharacterized LOC100577538 (LOC100577538), transcript variant X2, ncRNA"
GB51893,FBpp0073367,FBgn0030321,XM_623252.4," PREDICTED: Apis mellifera ATP-binding cassette sub-family F member 1-like (LOC413390), transcript variant 1, mRNA"
GB51894,FBpp0073578,FBgn0010303,XM_006557980.1," PREDICTED: Apis mellifera HEM-protein (hem), mRNA"
GB51895,FBpp0070062,FBgn0040372,XM_396833.5," PREDICTED: Apis mellifera histone-lysine N-methyltransferase EHMT1-like (LOC413388), transcript variant X2, mRNA"
GB51897,FBpp0298326,FBgn0263111,XM_006557959.1," PREDICTED: Apis mellifera cacophony (Cac), transcript variant X20, mRNA"
GB51898,#N/A,#N/A,XM_006557959.1," PREDICTED: Apis mellifera cacophony (Cac), transcript variant X20, mRNA"
GB51900,#N/A,#N/A,XM_003249150.2," PREDICTED: Apis mellifera surfeit locus protein 6 homolog (LOC100577300), mRNA"
GB51901,#N/A,#N/A,XM_394452.4," PREDICTED: Apis mellifera nose resistant to fluoxetine protein 6-like (LOC410976), mRNA"
GB51902,#N/A,#N/A,XM_006557967.1," PREDICTED: Apis mellifera uncharacterized LOC551850 (LOC551850), transcript variant X3, mRNA"
GB51903,FBpp0071377,FBgn0030192,XM_006557966.1," PREDICTED: Apis mellifera uncharacterized LOC551850 (LOC551850), transcript variant X2, mRNA"
GB51904,FBpp0073942,FBgn0000611,XM_006557977.1," PREDICTED: Apis mellifera homeobox protein extradenticle (exd), transcript variant X9, mRNA"
GB51905,#N/A,#N/A,XM_006557970.1," PREDICTED: Apis mellifera homeobox protein extradenticle (exd), transcript variant X2, mRNA"
GB51906,#N/A,#N/A,XM_006557959.1," PREDICTED: Apis mellifera cacophony (Cac), transcript variant X20, mRNA"
GB51908,#N/A,#N/A,XM_006558010.1," PREDICTED: Apis mellifera adenylate kinase 8-like (LOC100576953), mRNA"
GB51909,FBpp0073489,FBgn0030408,XM_396835.5," PREDICTED: Apis mellifera homeobox protein GBX-1-like (LOC413391), mRNA"
GB51910,FBpp0079480,FBgn0032169,XM_624403.3," PREDICTED: Apis mellifera zinc finger CCCH-type with G patch domain-containing protein (LOC552022), mRNA"
GB51911,FBpp0073490,FBgn0030406,XM_006557982.1," PREDICTED: Apis mellifera box C/D snoRNA protein 1-like (LOC413393), mRNA"
GB51912,FBpp0301987,FBgn0052654,XM_006557993.1," PREDICTED: Apis mellifera uncharacterized LOC409888 (LOC409888), transcript variant X10, mRNA"
GB51913,FBpp0085966,FBgn0034299,XM_624527.4," PREDICTED: Apis mellifera thymidylate kinase-like (LOC552148), transcript variant X2, mRNA"
GB51914,#N/A,#N/A,XM_006557999.1," PREDICTED: Apis mellifera uncharacterized LOC100577743 (LOC100577743), transcript variant X2, mRNA"
GB51915,#N/A,#N/A,XM_006565607.1," PREDICTED: Apis mellifera testis-expressed sequence 2 protein-like (LOC724294), mRNA"
GB51916,FBpp0072850,FBgn0035385,XM_001120499.3," PREDICTED: Apis mellifera FMRFamide receptor (FR), partial mRNA"
GB51917,FBpp0073521,FBgn0030421,XM_624518.3," PREDICTED: Apis mellifera 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like (LOC552139), transcript variant X3, mRNA"
GB51918,#N/A,#N/A,XM_006558004.1," PREDICTED: Apis mellifera uncharacterized LOC102653952 (LOC102653952), mRNA"
GB51919,#N/A,#N/A,XM_006558006.1," PREDICTED: Apis mellifera uncharacterized LOC100577932 (LOC100577932), transcript variant X2, mRNA"
GB51920,#N/A,#N/A,XM_006558006.1," PREDICTED: Apis mellifera uncharacterized LOC100577932 (LOC100577932), transcript variant X2, mRNA"
GB51923,#N/A,#N/A,XM_006561925.1," PREDICTED: Apis mellifera ribosome biogenesis protein BOP1 homolog (LOC551531), mRNA"
GB51924,#N/A,#N/A,XM_001123292.3," PREDICTED: Apis mellifera peroxisomal multifunctional enzyme type 2-like (LOC727584), partial mRNA"
GB51930,FBpp0081629,FBgn0037766,XM_001120804.3," PREDICTED: Apis mellifera tipE homolog 1 (Teh1), mRNA"
GB51936,#N/A,#N/A,XR_412116.1," PREDICTED: Apis mellifera uncharacterized LOC102654698 (LOC102654698), transcript variant X5, ncRNA"
GB51937,FBpp0110309,FBgn0015949,XM_393202.5," PREDICTED: Apis mellifera hiiragi (hrg), transcript variant X2, mRNA"
GB51938,FBpp0084273,FBgn0039354,XM_006571015.1," PREDICTED: Apis mellifera leucine rich repeat G protein coupled receptor (LOC551621), transcript variant X1, mRNA"
GB51939,#N/A,#N/A,XM_006571029.1," PREDICTED: Apis mellifera uncharacterized LOC102654380 (LOC102654380), mRNA"
GB51940,FBpp0301012,FBgn0263346,XM_006571024.1," PREDICTED: Apis mellifera uncharacterized LOC551558 (LOC551558), transcript variant X5, mRNA"
GB51941,#N/A,#N/A,XM_006571019.1," PREDICTED: Apis mellifera uncharacterized LOC551529 (LOC551529), transcript variant X2, mRNA"
GB51943,FBpp0084528,FBgn0039505,XM_393204.5," PREDICTED: Apis mellifera short coiled-coil protein B-like (LOC409706), mRNA"
GB51945,FBpp0071396,FBgn0030204,XM_001120660.3," PREDICTED: Apis mellifera odorant receptor 160 (Or160), mRNA"
GB51947,FBpp0291154,FBgn0259821,XM_006571032.1," PREDICTED: Apis mellifera uncharacterized LOC724835 (LOC724835), transcript variant X3, mRNA"
GB51949,#N/A,#N/A,XM_006571031.1," PREDICTED: Apis mellifera uncharacterized LOC724835 (LOC724835), transcript variant X2, mRNA"
GB51950,#N/A,#N/A,XM_006565034.1," PREDICTED: Apis mellifera uncharacterized LOC724120 (LOC724120), transcript variant X2, mRNA"
GB51952,#N/A,#N/A,XM_394446.5," PREDICTED: Apis mellifera Rab GTPase activating protein 6 (RabGAP6), transcript variant X3, mRNA"
GB51953,#N/A,#N/A,XM_006572237.1," PREDICTED: Apis mellifera ras-specific guanine nucleotide-releasing factor 1-like (LOC726401), mRNA"
GB51954,#N/A,#N/A,XM_625056.4," PREDICTED: Apis mellifera sec1 family domain-containing protein 2-like (LOC552681), transcript variant X3, mRNA"
GB51955,FBpp0070422,FBgn0040066,XM_006572271.1," PREDICTED: Apis mellifera will die slowly (wds), mRNA"
GB51956,FBpp0079167,FBgn0011230,XM_006572272.1," PREDICTED: Apis mellifera e3 ubiquitin-protein ligase UBR4-like (LOC412281), transcript variant X1, mRNA"
GB51957,FBpp0074364,FBgn0030931,XM_006572270.1," PREDICTED: Apis mellifera DNA repair protein XRCC2-like (LOC102656733), mRNA"
GB51959,#N/A,#N/A,XM_006572713.1," PREDICTED: Apis mellifera uncharacterized LOC102656480 (LOC102656480), mRNA"
GB51962,FBpp0289115,FBgn0086902,XM_006566989.1," PREDICTED: Apis mellifera uncharacterized LOC726524 (LOC726524), mRNA"
GB51963,FBpp0085875,FBgn0034351,XM_006566990.1," PREDICTED: Apis mellifera mitochondrial ribonuclease P protein 1 homolog (LOC100577673), mRNA"
GB51964,FBpp0073740,FBgn0030555,XM_624126.4," PREDICTED: Apis mellifera F box and leucine-rich-repeat gene 4 (Fbxl4), transcript variant X2, mRNA"
GB51965,FBpp0083688,FBgn0038968,XM_006566988.1," PREDICTED: Apis mellifera nucleolar pre-ribosomal-associated protein 1-like (LOC102654333), mRNA"
GB51966,#N/A,#N/A,XM_006566987.1," PREDICTED: Apis mellifera nucleolar pre-ribosomal-associated protein 1-like (LOC726580), mRNA"
GB51967,FBpp0087344,FBgn0086898,XM_006566977.1," PREDICTED: Apis mellifera ankyrin repeat domain-containing protein 6-like (LOC408390), transcript variant X2, mRNA"
GB51968,FBpp0077262,FBgn0031536,XM_393867.5," PREDICTED: Apis mellifera conserved oligomeric Golgi complex subunit 3 (Cog3), mRNA"
GB51969,#N/A,#N/A,XR_410862.1," PREDICTED: Apis mellifera uncharacterized LOC102653706 (LOC102653706), transcript variant X2, ncRNA"
GB51970,#N/A,#N/A,XR_410862.1," PREDICTED: Apis mellifera uncharacterized LOC102653706 (LOC102653706), transcript variant X2, ncRNA"
GB51972,#N/A,#N/A,XR_410853.1," PREDICTED: Apis mellifera uncharacterized LOC102656500 (LOC102656500), transcript variant X4, ncRNA"
GB51973,FBpp0084120,FBgn0039219,XM_393865.5," PREDICTED: Apis mellifera methionine aminopeptidase 1-like (LOC410385), mRNA"
GB51974,#N/A,#N/A,XM_003250922.2," PREDICTED: Apis mellifera uncharacterized LOC100578613 (LOC100578613), transcript variant X1, mRNA"
GB51977,#N/A,#N/A,XM_001122504.3," PREDICTED: Apis mellifera PEST proteolytic signal-containing nuclear protein-like (LOC726782), mRNA"
GB51978,FBpp0086569,FBgn0050476,XM_001122523.3," PREDICTED: Apis mellifera aveugle (ave), mRNA"
GB51979,#N/A,#N/A,XM_625277.4," PREDICTED: Apis mellifera uncharacterized LOC552190 (LOC552190), transcript variant X2, mRNA"
GB51983,#N/A,#N/A,XM_003250907.2," PREDICTED: Apis mellifera uncharacterized LOC100576774 (LOC100576774), mRNA"
GB51984,FBpp0075458,FBgn0027375,XM_006566995.1," PREDICTED: Apis mellifera homolog of RecQ (RecQ5), mRNA"
GB51985,#N/A,#N/A,XM_006566942.1," PREDICTED: Apis mellifera uncharacterized LOC102655436 (LOC102655436), mRNA"
GB51988,#N/A,#N/A,XM_006566932.1," PREDICTED: Apis mellifera protein suppressor of forked-like (LOC410390), transcript variant X1, mRNA"
GB51989,#N/A,#N/A,XR_410844.1," PREDICTED: Apis mellifera uncharacterized LOC100576495 (LOC100576495), transcript variant X5, misc_RNA"
GB51990,#N/A,#N/A,XM_006566927.1," PREDICTED: Apis mellifera ring and YY1 binding protein (RYBP), transcript variant X1, mRNA"
GB51991,FBpp0071779,FBgn0034763,XM_006566927.1," PREDICTED: Apis mellifera ring and YY1 binding protein (RYBP), transcript variant X1, mRNA"
GB51992,#N/A,#N/A,XM_006566927.1," PREDICTED: Apis mellifera ring and YY1 binding protein (RYBP), transcript variant X1, mRNA"
GB51993,FBpp0076884,FBgn0035592,XM_006566930.1," PREDICTED: Apis mellifera UPF0139 membrane protein pMsmaA27-like (LOC724802), mRNA"
GB51994,FBpp0086400,FBgn0010590,XM_393321.5," PREDICTED: Apis mellifera proteasome subunit beta type-6-like (LOC409831), mRNA"
GB51995,FBpp0081881,FBgn0037895,XM_006566992.1," PREDICTED: Apis mellifera sodium-coupled monocarboxylate transporter 1-like (LOC724546), mRNA"
GB51996,FBpp0076438,FBgn0035866,XM_623430.4," PREDICTED: Apis mellifera ADP-ribosylation factor-like protein 5B-like (LOC551034), mRNA"
GB51997,FBpp0112564,FBgn0063670,XM_006566914.1," PREDICTED: Apis mellifera transcription elongation factor 1 homolog (LOC102654012), mRNA"
GB51998,FBpp0072192,FBgn0034976,XR_410839.1," PREDICTED: Apis mellifera uncharacterized LOC413753 (LOC413753), misc_RNA"
GB51999,FBpp0075386,FBgn0027088,XM_391940.5," PREDICTED: Apis mellifera glycyl-tRNA synthetase (Aats-gly), mRNA"
GB52000,#N/A,#N/A,XM_006566907.1," PREDICTED: Apis mellifera agrin-like (LOC408393), transcript variant X6, mRNA"
GB52001,#N/A,#N/A,XM_006566904.1," PREDICTED: Apis mellifera agrin-like (LOC408393), transcript variant X3, mRNA"
GB52002,#N/A,#N/A,XM_006566911.1," PREDICTED: Apis mellifera agrin-like (LOC408393), transcript variant X10, mRNA"
GB52004,#N/A,#N/A,XM_003250928.2," PREDICTED: Apis mellifera caspase-1-like (LOC100576484), transcript variant X1, mRNA"
GB52006,#N/A,#N/A,XM_393874.4," PREDICTED: Apis mellifera DCN1-like protein 4-like (LOC410394), transcript variant X3, mRNA"
GB52007,FBpp0074606,FBgn0036967,XM_006566880.1," PREDICTED: Apis mellifera DCN1-like protein 4-like (LOC410394), transcript variant X1, mRNA"
GB52008,FBpp0081284,FBgn0010812,XM_396019.5," PREDICTED: Apis mellifera translocase of outer membrane 34 (Tom34), mRNA"
GB52009,FBpp0083078,FBgn0051229,XM_006566879.1," PREDICTED: Apis mellifera mitochondrial import inner membrane translocase subunit Tim22-like (LOC100576422), mRNA"
GB52010,FBpp0070114,FBgn0001341,XM_001121445.3," PREDICTED: Apis mellifera uncharacterized LOC725618 (LOC725618), mRNA"
GB52011,#N/A,#N/A,XM_001121445.3," PREDICTED: Apis mellifera uncharacterized LOC725618 (LOC725618), mRNA"
GB52012,FBpp0075937,FBgn0036124,XM_003250915.2," PREDICTED: Apis mellifera CCAAT/enhancer-binding protein zeta-like (LOC100578014), transcript variant X1, mRNA"
GB52013,FBpp0084275,FBgn0039358,XM_393876.5," PREDICTED: Apis mellifera isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial-like (LOC410396), transcript variant 2, mRNA"
GB52014,#N/A,#N/A,XM_391942.5," PREDICTED: Apis mellifera collagen alpha-1(XI) chain-like (LOC408394), transcript variant 1, mRNA"
GB52015,#N/A,#N/A,XM_006566873.1," PREDICTED: Apis mellifera PNR nuclear receptor-like (PNR-like), mRNA"
GB52017,#N/A,#N/A,XR_410829.1," PREDICTED: Apis mellifera uncharacterized LOC100578911 (LOC100578911), transcript variant X7, misc_RNA"
GB52019,#N/A,#N/A,XM_006566865.1," PREDICTED: Apis mellifera uncharacterized LOC100578818 (LOC100578818), transcript variant X4, mRNA"
GB52020,#N/A,#N/A,XM_006566864.1," PREDICTED: Apis mellifera uncharacterized LOC100578818 (LOC100578818), transcript variant X3, mRNA"
GB52021,FBpp0074573,FBgn0261811,XM_003250923.2," PREDICTED: Apis mellifera uncharacterized LOC100578818 (LOC100578818), transcript variant X1, mRNA"
GB52022,#N/A,#N/A,XR_410823.1," PREDICTED: Apis mellifera uncharacterized LOC102654992 (LOC102654992), transcript variant X4, misc_RNA"
GB52023,FBpp0085332,FBgn0033065,XM_006566840.1," PREDICTED: Apis mellifera cytochrome P450 6AQ1 (CYP6AQ1), transcript variant X1, mRNA"
GB52024,#N/A,#N/A,XM_006566855.1," PREDICTED: Apis mellifera neprilysin 2 (Nep2), transcript variant X1, mRNA"
GB52025,#N/A,#N/A,XM_393860.5," PREDICTED: Apis mellifera neprilysin 2 (Nep2), transcript variant X4, mRNA"
GB52026,#N/A,#N/A,XM_001121859.3," PREDICTED: Apis mellifera uncharacterized LOC726092 (LOC726092), transcript variant X1, mRNA"
GB52027,#N/A,#N/A,XM_003250913.2," PREDICTED: Apis mellifera uncharacterized LOC100577829 (LOC100577829), transcript variant X1, mRNA"
GB52028,#N/A,#N/A,XM_006566845.1," PREDICTED: Apis mellifera translation elongation factor eEF-1 alpha chain (Ef-1a-f1), transcript variant X3, mRNA"
GB52029,FBpp0083293,FBgn0038796,XM_391934.5," PREDICTED: Apis mellifera eukaryotic translation initiation factor 3 subunit G-1 (LOC408386), mRNA"
GB52030,FBpp0078052,FBgn0037081,XM_391935.5," PREDICTED: Apis mellifera HIV Tat-specific factor 1 homolog (LOC408387), mRNA"
GB52033,FBpp0301169,FBgn0261258,XM_006566846.1," PREDICTED: Apis mellifera uncharacterized LOC100578121 (LOC100578121), transcript variant X2, mRNA"
GB52034,#N/A,#N/A,XR_410818.1," PREDICTED: Apis mellifera uncharacterized LOC102654011 (LOC102654011), ncRNA"
GB52035,#N/A,#N/A,XR_410818.1," PREDICTED: Apis mellifera uncharacterized LOC102654011 (LOC102654011), ncRNA"
GB52036,FBpp0086898,FBgn0003975,XM_001122002.3," PREDICTED: Apis mellifera uncharacterized LOC726247 (LOC726247), transcript variant X1, mRNA"
GB52037,FBpp0075048,FBgn0261872,XM_393863.4," PREDICTED: Apis mellifera uncharacterized LOC410383 (LOC410383), transcript variant X2, mRNA"
GB52038,#N/A,#N/A,XM_006566850.1," PREDICTED: Apis mellifera uncharacterized LOC726204 (LOC726204), transcript variant X3, mRNA"
GB52039,FBpp0081723,FBgn0259938,XM_006566851.1," PREDICTED: Apis mellifera uncharacterized LOC726204 (LOC726204), transcript variant X4, mRNA"
GB52040,#N/A,#N/A,XM_393861.5," PREDICTED: Apis mellifera popeye domain-containing protein 3-like (LOC410381), mRNA"
GB52041,#N/A,#N/A,NM_001165906.1," Apis mellifera aubergine (aub), mRNA"
GB52042,#N/A,#N/A,XM_006566852.1," PREDICTED: Apis mellifera blood vessel epicardial substance-like (LOC726152), transcript variant X2, mRNA"
GB52043,#N/A,#N/A,XM_391932.5," PREDICTED: Apis mellifera transcriptional adapter 2-alpha-like (LOC408384), mRNA"
GB52044,#N/A,#N/A,XM_391932.5," PREDICTED: Apis mellifera transcriptional adapter 2-alpha-like (LOC408384), mRNA"
GB52045,#N/A,#N/A,XM_006566860.1," PREDICTED: Apis mellifera phosphodiesterase 9 (Pde9), transcript variant X3, mRNA"
GB52046,FBpp0289744,FBgn0259171,XM_006566860.1," PREDICTED: Apis mellifera phosphodiesterase 9 (Pde9), transcript variant X3, mRNA"
GB52047,FBpp0074576,FBgn0259789,XM_006566861.1," PREDICTED: Apis mellifera trithorax group protein osa-like (LOC102654959), mRNA"
GB52049,#N/A,#N/A,XR_410823.1," PREDICTED: Apis mellifera uncharacterized LOC102654992 (LOC102654992), transcript variant X4, misc_RNA"
GB52051,#N/A,#N/A,XM_006572051.1," PREDICTED: Apis mellifera histone-lysine N-methyltransferase SETMAR-like (LOC102655927), mRNA"
GB52052,FBpp0070594,FBgn0029690,XM_006566867.1," PREDICTED: Apis mellifera venom carboxylesterase-6-like (LOC408395), transcript variant X1, mRNA"
GB52054,#N/A,#N/A,XM_393878.5," PREDICTED: Apis mellifera IGF-II mRNA-binding protein (Imp), transcript variant X4, mRNA"
GB52055,#N/A,#N/A,XM_393878.5," PREDICTED: Apis mellifera IGF-II mRNA-binding protein (Imp), transcript variant X4, mRNA"
GB52056,FBpp0293680,FBgn0262735,XM_006566868.1," PREDICTED: Apis mellifera IGF-II mRNA-binding protein (Imp), transcript variant X1, mRNA"
GB52057,FBpp0074227,FBgn0030855,XM_006566874.1," PREDICTED: Apis mellifera probable ATP-dependent RNA helicase DDX10-like (LOC725642), mRNA"
GB52058,FBpp0071221,FBgn0030082,XM_006566876.1," PREDICTED: Apis mellifera chromobox protein homolog 1-like (LOC410395), transcript variant X1, mRNA"
GB52059,FBpp0089381,FBgn0262734,XM_392894.5," PREDICTED: Apis mellifera eukaryotic translation initiation factor 4H-like (LOC409379), transcript variant X2, mRNA"
GB52060,FBpp0076897,FBgn0011710,XM_395643.5," PREDICTED: Apis mellifera septin-1-like (LOC412180), mRNA"
GB52061,FBpp0070911,FBgn0028360,XM_003250926.2," PREDICTED: Apis mellifera cell division cycle 7-related protein kinase-like (LOC725465), transcript variant X1, mRNA"
GB52062,#N/A,#N/A,XM_006566895.1," PREDICTED: Apis mellifera alkaline phosphatase, tissue-nonspecific isozyme-like (LOC410393), transcript variant X14, mRNA"
GB52063,#N/A,#N/A,XM_006566886.1," PREDICTED: Apis mellifera alkaline phosphatase, tissue-nonspecific isozyme-like (LOC410393), transcript variant X5, mRNA"
GB52064,#N/A,#N/A,XM_006566887.1," PREDICTED: Apis mellifera alkaline phosphatase, tissue-nonspecific isozyme-like (LOC410393), transcript variant X6, mRNA"
GB52065,#N/A,#N/A,XM_006566883.1," PREDICTED: Apis mellifera alkaline phosphatase, tissue-nonspecific isozyme-like (LOC410393), transcript variant X2, mRNA"
GB52068,#N/A,#N/A,XR_410835.1," PREDICTED: Apis mellifera uncharacterized LOC102656885 (LOC102656885), transcript variant X2, ncRNA"
GB52069,#N/A,#N/A,XM_006566913.1," PREDICTED: Apis mellifera uncharacterized LOC102653958 (LOC102653958), mRNA"
GB52070,FBpp0289851,FBgn0260224,XM_001120975.3," PREDICTED: Apis mellifera phosphatidylinositol N-acetylglucosaminyltransferase subunit P-like (LOC725086), transcript variant X1, mRNA"
GB52071,FBpp0084347,FBgn0039405,XM_006566915.1," PREDICTED: Apis mellifera phosphatidylinositol N-acetylglucosaminyltransferase subunit P-like (LOC725086), transcript variant X2, mRNA"
GB52072,FBpp0075903,FBgn0036157,XM_006566916.1," PREDICTED: Apis mellifera methylenetetrahydrofolate reductase-like (LOC100578936), transcript variant X1, mRNA"
GB52073,FBpp0070871,FBgn0261955,XM_393545.5," PREDICTED: Apis mellifera probable citrate synthase 1, mitochondrial-like (LOC410059), mRNA"
GB52074,FBpp0070368,FBgn0004654,XM_006566923.1," PREDICTED: Apis mellifera 6-phosphogluconate dehydrogenase, decarboxylating (Pgd), mRNA"
GB52075,FBpp0073089,FBgn0035526,XM_006566924.1," PREDICTED: Apis mellifera RNA-binding protein 45-like (LOC412116), transcript variant X1, mRNA"
GB52076,#N/A,#N/A,XM_395582.5," PREDICTED: Apis mellifera RNA-binding protein 45-like (LOC412116), transcript variant X3, mRNA"
GB52077,FBpp0070455,FBgn0003068,NM_001011596.1," Apis mellifera period circadian protein (Per), mRNA"
GB52078,#N/A,#N/A,NM_001011596.1," Apis mellifera period circadian protein (Per), mRNA"
GB52079,FBpp0074458,FBgn0031006,XM_006566993.1," PREDICTED: Apis mellifera rapamycin-insensitive companion of Tor (rictor), mRNA"
GB52080,FBpp0071816,FBgn0034794,XM_625131.4," PREDICTED: Apis mellifera GDP-L-fucose synthetase (Gmer), transcript variant X2, mRNA"
GB52081,#N/A,#N/A,XM_003250903.2," PREDICTED: Apis mellifera inactivation no afterpotential E (inaE), mRNA"
GB52082,FBpp0288741,FBgn0261244,XM_003250903.2," PREDICTED: Apis mellifera inactivation no afterpotential E (inaE), mRNA"
GB52084,#N/A,#N/A,XM_003250903.2," PREDICTED: Apis mellifera inactivation no afterpotential E (inaE), mRNA"
GB52085,FBpp0087323,FBgn0263510,XM_001120860.3," PREDICTED: Apis mellifera uncharacterized LOC724959 (LOC724959), mRNA"
GB52086,#N/A,#N/A,XM_001120860.3," PREDICTED: Apis mellifera uncharacterized LOC724959 (LOC724959), mRNA"
GB52087,#N/A,#N/A,XM_006566931.1," PREDICTED: Apis mellifera putative fatty acyl-CoA reductase CG5065-like (LOC100578329), mRNA"
GB52088,#N/A,#N/A,XM_624769.3," PREDICTED: Apis mellifera zinc finger protein 396-like (LOC552397), transcript variant X2, mRNA"
GB52090,FBpp0292301,FBgn0261705,XM_006566934.1," PREDICTED: Apis mellifera zinc finger protein 396-like (LOC552397), transcript variant X1, mRNA"
GB52091,FBpp0112455,FBgn0003559,XM_393870.5," PREDICTED: Apis mellifera protein suppressor of forked-like (LOC410390), transcript variant X3, mRNA"
GB52092,#N/A,#N/A,XM_006566948.1," PREDICTED: Apis mellifera fasciclin 3 (Fas3), transcript variant X6, mRNA"
GB52093,#N/A,#N/A,XM_006566949.1," PREDICTED: Apis mellifera fasciclin 3 (Fas3), transcript variant X7, mRNA"
GB52094,#N/A,#N/A,XM_006566948.1," PREDICTED: Apis mellifera fasciclin 3 (Fas3), transcript variant X6, mRNA"
GB52095,#N/A,#N/A,XM_006566949.1," PREDICTED: Apis mellifera fasciclin 3 (Fas3), transcript variant X7, mRNA"
GB52096,#N/A,#N/A,XM_003250906.2," PREDICTED: Apis mellifera uncharacterized LOC100576705 (LOC100576705), transcript variant X1, mRNA"
GB52097,FBpp0110565,FBgn0058006,XM_396241.4," PREDICTED: Apis mellifera scavenger receptor class B, type 1 (SCR-B1), transcript variant X5, mRNA"
GB52098,FBpp0293468,FBgn0261671,XM_006566952.1," PREDICTED: Apis mellifera uncharacterized protein KIAA1109-like (LOC410019), transcript variant X3, mRNA"
GB52100,FBpp0271739,FBgn0035612,XR_410865.1," PREDICTED: Apis mellifera collagen alpha-2(IV) chain-like (LOC102654867), misc_RNA"
GB52101,FBpp0076853,FBgn0035610,XR_410849.1," PREDICTED: Apis mellifera leucokinin receptor (Lkr), transcript variant X3, misc_RNA"
GB52102,FBpp0080640,FBgn0261597,XM_001122510.3," PREDICTED: Apis mellifera ribosomal protein S26 (RpS26), mRNA"
GB52103,#N/A,#N/A,XM_003250921.2," PREDICTED: Apis mellifera protein spaetzle-like (LOC100578548), transcript variant X1, mRNA"
GB52104,FBpp0288839,FBgn0039479,XM_006566996.1," PREDICTED: Apis mellifera uncharacterized LOC726758 (LOC726758), mRNA"
GB52105,#N/A,#N/A,XM_006566960.1," PREDICTED: Apis mellifera uncharacterized LOC100578613 (LOC100578613), transcript variant X2, mRNA"
GB52106,FBpp0084068,FBgn0004885,XM_006566963.1," PREDICTED: Apis mellifera tolkin (tok), transcript variant X1, mRNA"
GB52107,FBpp0081153,FBgn0003884,XM_006566962.1," PREDICTED: Apis mellifera tubulin alpha-1 chain-like (LOC408388), mRNA"
GB52108,#N/A,#N/A,XM_001122432.3," PREDICTED: Apis mellifera uncharacterized LOC726709 (LOC726709), transcript variant X1, mRNA"
GB52109,FBpp0072464,FBgn0001316,XM_001122432.3," PREDICTED: Apis mellifera uncharacterized LOC726709 (LOC726709), transcript variant X1, mRNA"
GB52110,#N/A,#N/A,XM_006566970.1," PREDICTED: Apis mellifera protein trachealess-like (LOC408389), transcript variant X4, mRNA"
GB52111,#N/A,#N/A,XM_006566967.1," PREDICTED: Apis mellifera protein trachealess-like (LOC408389), transcript variant X1, mRNA"
GB52113,#N/A,#N/A,XM_006566971.1," PREDICTED: Apis mellifera protein trachealess-like (LOC408389), transcript variant X5, mRNA"
GB52114,FBpp0293065,FBgn0262139,XM_006566973.1," PREDICTED: Apis mellifera protein trachealess-like (LOC408389), transcript variant X7, mRNA"
GB52115,FBpp0088835,FBgn0025456,XM_624299.4," PREDICTED: Apis mellifera cellular repressor of E1A-stimulated genes (CREG), mRNA"
GB52116,FBpp0070150,FBgn0002579,XM_006566975.1," PREDICTED: Apis mellifera ribosomal protein L36 (RpL36), transcript variant X2, mRNA"
GB52118,FBpp0081735,FBgn0037816,XM_393868.5," PREDICTED: Apis mellifera CDK5RAP1-like protein-like (LOC410388), mRNA"
GB52120,FBpp0077368,FBgn0031479,XM_395319.5," PREDICTED: Apis mellifera thioredoxin peroxidase 5 (Tpx-5), mRNA"
GB52121,FBpp0079157,FBgn0031977,XM_624016.4," PREDICTED: Apis mellifera barrier to autointegration factor (baf), mRNA"
GB52125,#N/A,#N/A,XM_006570566.1," PREDICTED: Apis mellifera uncharacterized LOC102654215 (LOC102654215), mRNA"
GB52126,#N/A,#N/A,XM_006570569.1," PREDICTED: Apis mellifera uncharacterized LOC102654367 (LOC102654367), mRNA"
GB52132,#N/A,#N/A,XM_006570569.1," PREDICTED: Apis mellifera uncharacterized LOC102654367 (LOC102654367), mRNA"
GB52133,FBpp0087305,FBgn0040765,XM_001121679.3," PREDICTED: Apis mellifera zinc finger protein 426-like (LOC725885), mRNA"
GB52135,#N/A,#N/A,NM_001080095.1," Apis mellifera nicotinic acetylcholine receptor alpha6 subunit (nAChRa6), mRNA"
